video_name,IMG_0058
cand,529.17,412.5,579.17,433.33,550.0,562.5,550.0,566.67,566.67,566.67,566.67,545.83,112.5,529.17,570.83,512.5,579.17,566.67,545.83,566.67,533.33,545.83,566.67,545.83,570.83,512.5,566.67,358.33,533.33
pinyin,529.17,550.0,579.17,454.17,533.33,562.5,533.33,566.67,533.33,533.33,566.67,512.5,545.83,545.83,537.5,512.5,583.33,583.33,550.0,566.67,550.0,545.83,350.0,529.17,570.83,529.17,566.67,529.17,554.17
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,406,506,679,792,933,1069,1202,1339,1476,1745,1882,2014,2042,2275,2417,2541,2681,2819,2955,3229,3358,3494,3631,3763,3901,4025,4166,4253,4427
pinyin_change,406,539,679,797,929,1069,1198,1339,1468,1737,1882,2006,2146,2279,2409,2541,2682,2823,2956,3229,3362,3494,3579,3759,3901,4029,4166,4294,4432

video_name,IMG_0058
cand,0.0,4.17,16.67,129.17,16.67,20.83,16.67,100.0,20.83,20.83,16.67,20.83,20.83,16.67,20.83,20.83,20.83,12.5,104.17,4.17,16.67,4.17,4.17,16.67,4.17,4.17,20.83,41.67,4.17
pinyin,16.67,33.33,33.33,112.5,20.83,20.83,20.83,33.33,20.83,16.67,16.67,33.33,20.83,16.67,33.33,20.83,33.33,20.83,20.83,16.67,16.67,33.33,20.83,12.5,20.83,16.67,33.33,16.67,16.67
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,279,408,544,719,805,939,1074,1227,1345,1614,1750,1888,2020,2152,2285,2423,2547,2686,2849,3094,3234,3364,3496,3636,3765,3903,4035,4177,4300
pinyin_change,283,415,548,715,806,939,1075,1211,1345,1613,1750,1891,2020,2152,2288,2423,2550,2688,2829,3097,3234,3371,3500,3635,3769,3906,4038,4171,4303

video_name,IMG_0058
cand,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17
pinyin,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,278,406,539,687,800,933,1069,1202,1339,1608,1745,1882,2014,2147,2279,2417,2541,2682,2823,3092,3229,3362,3494,3631,3763,3901,4029,4166,4298
pinyin_change,278,406,539,687,800,933,1069,1202,1339,1608,1745,1882,2014,2147,2279,2417,2541,2682,2823,3092,3229,3362,3494,3631,3763,3901,4029,4166,4298

video_name,IMG_0058
cand,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17
pinyin,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17,-4.17
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,278,406,539,687,800,933,1069,1202,1339,1608,1745,1882,2014,2147,2279,2417,2541,2682,2823,3092,3229,3362,3494,3631,3763,3901,4029,4166,4298
pinyin_change,278,406,539,687,800,933,1069,1202,1339,1608,1745,1882,2014,2147,2279,2417,2541,2682,2823,3092,3229,3362,3494,3631,3763,3901,4029,4166,4298

video_name,IMG_0058
cand,-4.17,4.17,29.17,8.33,4.17,0.0,4.17,0.0,37.5,37.5,29.17,0.0,4.17,0.0,37.5,0.0,37.5,-4.17,4.17,4.17,-4.17,0.0,4.17,0.0,4.17,-4.17,37.5,229.17,4.17
pinyin,25.0,37.5,41.67,58.33,0.0,-4.17,0.0,-4.17,33.33,33.33,20.83,37.5,0.0,-4.17,45.83,4.17,45.83,-4.17,0.0,-4.17,-4.17,-4.17,0.0,-4.17,0.0,-4.17,41.67,-4.17,25.0
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,278,408,547,690,802,934,1071,1203,1349,1618,1753,1883,2016,2148,2289,2418,2551,2682,2825,3094,3229,3363,3496,3632,3765,3901,4039,4222,4300
pinyin_change,285,416,550,702,801,933,1070,1202,1348,1617,1751,1892,2015,2147,2291,2419,2553,2682,2824,3092,3229,3362,3495,3631,3764,3901,4040,4166,4305

video_name,IMG_0058
cand,4.17,12.5,37.5,16.67,12.5,8.33,12.5,8.33,45.83,45.83,37.5,8.33,12.5,8.33,45.83,8.33,45.83,4.17,12.5,12.5,4.17,8.33,12.5,8.33,12.5,4.17,45.83,237.5,12.5
pinyin,33.33,45.83,50.0,66.67,8.33,4.17,8.33,4.17,41.67,41.67,29.17,45.83,8.33,4.17,54.17,12.5,54.17,4.17,8.33,4.17,4.17,4.17,8.33,4.17,8.33,4.17,50.0,4.17,33.33
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,280,410,549,692,804,936,1073,1205,1351,1620,1755,1885,2018,2150,2291,2420,2553,2684,2827,3096,3231,3365,3498,3634,3767,3903,4041,4224,4302
pinyin_change,287,418,552,704,803,935,1072,1204,1350,1619,1753,1894,2017,2149,2293,2421,2555,2684,2826,3094,3231,3364,3497,3633,3766,3903,4042,4168,4307

video_name,IMG_0058
cand,0.0,4.17,16.67,129.17,16.67,20.83,16.67,100.0,20.83,20.83,16.67,20.83,20.83,16.67,20.83,20.83,20.83,12.5,104.17,4.17,16.67,4.17,4.17,16.67,4.17,4.17,20.83,41.67,4.17
pinyin,16.67,33.33,33.33,112.5,20.83,20.83,20.83,33.33,20.83,16.67,16.67,33.33,20.83,16.67,33.33,20.83,33.33,20.83,20.83,16.67,16.67,33.33,20.83,12.5,20.83,16.67,33.33,16.67,16.67
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,279,408,544,719,805,939,1074,1227,1345,1614,1750,1888,2020,2152,2285,2423,2547,2686,2849,3094,3234,3364,3496,3636,3765,3903,4035,4177,4300
pinyin_change,283,415,548,715,806,939,1075,1211,1345,1613,1750,1891,2020,2152,2288,2423,2550,2688,2829,3097,3234,3371,3500,3635,3769,3906,4038,4171,4303

video_name,IMG_0058
cand,0.0,4.17,16.67,129.17,16.67,20.83,16.67,100.0,20.83,20.83,16.67,20.83,20.83,16.67,20.83,20.83,20.83,12.5,104.17,4.17,16.67,4.17,4.17,16.67,4.17,4.17,20.83,41.67,4.17
pinyin,16.67,33.33,33.33,112.5,20.83,20.83,20.83,33.33,20.83,16.67,16.67,33.33,20.83,16.67,33.33,20.83,33.33,20.83,20.83,16.67,16.67,33.33,20.83,12.5,20.83,16.67,33.33,16.67,16.67
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,279,408,544,719,805,939,1074,1227,1345,1614,1750,1888,2020,2152,2285,2423,2547,2686,2849,3094,3234,3364,3496,3636,3765,3903,4035,4177,4300
pinyin_change,283,415,548,715,806,939,1075,1211,1345,1613,1750,1891,2020,2152,2288,2423,2550,2688,2829,3097,3234,3371,3500,3635,3769,3906,4038,4171,4303

video_name,IMG_0058
cand,0.0,4.17,16.67,58.33,4.17,4.17,4.17,8.33,20.83,20.83,16.67,12.5,4.17,4.17,20.83,20.83,20.83,0.0,4.17,4.17,0.0,4.17,4.17,4.17,4.17,4.17,20.83,41.67,4.17
pinyin,16.67,16.67,16.67,50.0,4.17,16.67,16.67,16.67,16.67,16.67,12.5,16.67,4.17,0.0,20.83,20.83,20.83,16.67,20.83,16.67,16.67,16.67,16.67,8.33,16.67,16.67,16.67,16.67,16.67
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,279,408,544,702,802,935,1071,1205,1345,1614,1750,1886,2016,2149,2285,2423,2547,2683,2825,3094,3230,3364,3496,3633,3765,3903,4035,4177,4300
pinyin_change,283,411,544,700,802,938,1074,1207,1344,1613,1749,1887,2016,2148,2285,2423,2547,2687,2829,3097,3234,3367,3499,3634,3768,3906,4034,4171,4303

video_name,IMG_0058
cand,4.17,8.33,20.83,62.5,8.33,8.33,8.33,12.5,25.0,25.0,20.83,16.67,8.33,8.33,25.0,25.0,25.0,4.17,8.33,8.33,4.17,8.33,8.33,8.33,8.33,8.33,25.0,45.83,8.33
pinyin,20.83,20.83,20.83,54.17,8.33,20.83,20.83,20.83,20.83,20.83,16.67,20.83,8.33,4.17,25.0,25.0,25.0,20.83,25.0,20.83,20.83,20.83,20.83,12.5,20.83,20.83,20.83,20.83,20.83
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,280,409,545,703,803,936,1072,1206,1346,1615,1751,1887,2017,2150,2286,2424,2548,2684,2826,3095,3231,3365,3497,3634,3766,3904,4036,4178,4301
pinyin_change,284,412,545,701,803,939,1075,1208,1345,1614,1750,1888,2017,2149,2286,2424,2548,2688,2830,3098,3235,3368,3500,3635,3769,3907,4035,4172,4304

